Antônio, empresário do ramo de produtos alimentícios, acabara de descobrir que uma de suas principais empresas concorrentes está desenvolvendo um de seus produtos, este que possui um conjunto de receitas e combinações exclusivas. Agora ele busca descobrir a causa do vazamento de informações sigilosas de sua empresa, esta que possui apenas dois colaboradores com acesso à internet corporativa e sem rígidas políticas de segurança. Relacionado à Segurança da Informação, que atitude deveria ter sido tomada antes deste acontecimento?;Orientar seus colaboradores para a não divulgação do material sigiloso;Estabelecer bloqueio de sistemas de saída do sistema computacional;Não utilizar computadores na empresa;2
A empresa “LogTech”, especializada em logística de produtos relacionados à área da informática, tem seu processo interrompido devido a um corte de energia elétrica abrangendo toda a cidade. Seu sistema de geradores estava em manutenção e o nobreak não funcionou. Lucas é responsável por realizar o backup das informações e dados da empresa quando lhe é disponibilizado tempo para tal. Porém, devido à ocupação em outras áreas da empresa, Lucas acabou não realizando o último backup dos dados em seu HD externo e o corte de energia elétrico acabou desligando os equipamentos. Qual a falha da empresa?;Não conceder tempo para Lucas realizar o backup dos dados em seu HD externo;Não estar com o sistema de geradores e nobreak em funcionamento;Não possuir um sistema automatizado de backup com armazenamento em nuvem;3
Matheus possui uma empresa do ramo de empréstimos financeiros. Como ele tem um amigo que assistiu algumas vídeo aulas no YouTube sobre Segurança da Informação, o contatou para lhe assessorar na questão de antivírus e firewall, este instalou um dos melhores antivírus do mercado, que é pago, porém encontrou um crack para o seu perfeito funcionamento. Certo dia, Matheus descobre que dados cadastrais de seus clientes teriam vazado para a web. Então ele decide ir em busca de um profissional da área para rever seus conceitos sobre Segurança da Informação. O que Matheus deveria ter feito para evitar o ocorrido?;Investir em antivírus corporativo e firewall com assessoria qualificada;Não ter contatado seu amigo e ter feito o trabalho por conta própria;Matheus deveria ter solicitado a instalação de dois antivírus simultâneos em suas máquinas para aumentar a segurança;1
Cada informação é classificada com um nível de relevância específico. De acordo com estes níveis, uma informação pode ser:;Comercial, Particular, Sigilosa ou Secreta;Comercial, Particular, Sigilosa ou Confidencial;Pública, Interna, Confidencial ou Secreta;3
A segurança da informação tem como base os seguintes aspectos, denominados pilares da segurança da informação;Confidencialidade, Integridade, Disponibilidade;Proteção, Legalização de Software, Backup;Nenhuma das anteriores;1
Segundo a ABNT (2005) quais são os ativos de uma empresa em relação a segurança da informação?;Conhecimento de mercado, Móveis e Imoveis;Informações, Software e Hardware;Capital, Estoque, Maquinas para produção;2
Qual alternativa mostra como são classificadas as informações?;pública, interna, confidencial, restrita;privada, interna, confidencial, secreta;pública, interna, particular, secreta;1
Nos dias de hoje segurança é tudo, e quando se fala em segurança da informação, nos vem à cabeça a criptografia assimétrica, sobre este tema, dentre as três alternativas, qual seria a incorreta quanto a uma desvantagem utilizada;os algoritmos são muito mais complexos;exige mínimo poder de processamento;mais lenta comparada à criptografia simétrica;2
Sites de comércio eletrônico podem ser citados como alvo de negação de serviços. O que pode ser sugerido para prevenir esse tipo de ataque?;utilizar um servidor ilimitado;não acessar sites de empresas;utilizar servidores proxy;3
Em segurança da informação, o que é um worm?;Joguinho de computador;Uma arma biológica desenvolvida pra destruir o universo;Um malware que se espalha em outros computadores;3
